id,reference,currentStage,edition,publicationDate
2,ISO/WD 0,2098,1,
3,ISO/R 102:1959,9599,1,1959-01-01
4,ISO/R 115:1959,9599,1,1959-01-01
5,ISO/R 44:1957,9599,1,1957-01-01
6,ISO/R 62:1958/Amd 1,9599,1,1958-01-01
7,ISO/WD 0-1,2098,1,
8,ISO/R 97:1958,9599,1,1958-01-01
9,ISO/WD 0,2098,1,
10,ISO/WD 0,2098,1,
11,ISO/WD 0-1,2098,1,
12,ISO/WD 0,2098,1,
13,ISO/R 97:1959,9599,1,1959-01-01
14,ISO/R 1:1951,9599,1,1951-01-01
15,ISO/WD 0,2098,1,
16,ISO/R 100:1959,9599,1,1959-01-01
17,ISO/R 104:1959,9599,1,1959-01-01
18,ISO/WD 0,2098,1,
19,ISO/WD 0,2098,1,
20,ISO/R 105:1959,9599,1,1959-01-01
21,ISO/R 108:1959,9599,1,1959-01-01
22,ISO/R 11:1954,9599,1,1954-01-01
23,ISO/R 110:1959,9599,1,1959-01-01
24,ISO/R 111:1959,9599,1,1959-01-01
25,ISO/WD 0,2098,1,
26,ISO/WD 0,2098,1,
27,ISO/WD 0,2098,1,
28,ISO/CD 10800,3098,1,
29,ISO/WD 0-1,2098,1,
30,ISO/R 112:1959,9599,1,1959-01-01
31,ISO/R 114:1959,9599,1,1959-01-01
32,ISO/R 1140:1969,9599,1,1969-01-01
33,ISO/WD 0,2098,1,
34,ISO/R 118:1959,9599,1,1959-01-01
35,ISO/WD 0-1,2098,1,
36,ISO/WD 0,2098,1,
37,ISO/R 119:1958,9599,1,1958-01-01
38,ISO/R 12:1955,9599,1,1955-01-01
39,ISO/R 120:1959,9599,1,1959-01-01
40,ISO/R 121:1959,9599,1,1959-01-01
41,ISO/R 126:1959,9599,1,1959-01-01
42,ISO/WD 0,2098,1,
43,ISO/R 127:1959,9599,1,1959-01-01
44,ISO/R 13:1955,9599,1,1955-01-01
45,ISO/WD 0,2098,1,
46,ISO/R 131:1959,9599,1,1959-01-01
47,ISO/R 132:1959,9599,1,1959-01-01
48,ISO/WD 0,2098,1,
49,ISO/R 136:1959,9599,1,1959-01-01
50,ISO/R 14:1955,9599,1,1955-01-01
51,ISO/R 16:1955,9599,1,1955-01-01
52,ISO/R 17:1955,9599,1,1955-01-01
53,ISO/R 18:1955,9599,1,1955-01-01
54,ISO/R 2:1951,9599,1,1951-01-01
55,ISO/WD 0,2098,1,
56,ISO/R 21:1956,9599,1,1956-01-01
57,ISO/R 22:1956,9599,1,1956-01-01
58,ISO/R 23:1956,9599,1,1956-01-01
59,ISO/R 26:1956,9599,1,1956-01-01
60,ISO/R 29:1956,9599,1,1956-01-01
61,ISO/R 3:1953,9599,1,1953-01-01
62,ISO/R 31-2:1958,9599,1,1958-01-01
63,ISO/WD 0,2098,1,
64,ISO/R 31-5:1965,9599,1,1965-01-01
65,ISO/R 32:1957,9599,1,1957-01-01
66,ISO/R 34:1957,9599,1,1957-01-01
67,ISO/R 348:1963,9599,1,1963-01-01
68,ISO/R 35:1957,9599,1,1957-01-01
69,ISO/WD 0,2098,1,
70,ISO/R 356:1963,9599,1,1963-01-01
71,ISO/R 390:1964,9599,1,1964-01-01
72,ISO/R 4:1953,9599,1,1953-01-01
73,ISO/WD 0,2098,1,
74,ISO/WD 0,2098,1,
75,ISO/R 41:1957,9599,1,1957-01-01
76,ISO/R 43:1957,9599,1,1957-01-01
77,ISO/WD 0,2098,1,
78,ISO/WD 0,2098,1,
79,ISO/R 45:1957,9599,1,1957-01-01
80,ISO/WD 0,2098,1,
81,ISO/WD 0,2098,1,
82,ISO/R 48:1957,9599,1,1957-01-01
83,ISO/WD 0,2098,1,
84,ISO/WD 0,2098,1,
85,ISO/WD 0,2098,1,
86,ISO/R 49:1957,9599,1,1957-01-01
87,ISO/WD 0,2098,1,
88,ISO/WD 0,2098,1,
89,ISO/WD 0,2098,1,
90,ISO/R 5:1954,9599,1,1954-01-01
91,ISO/WD 0,2098,1,
92,ISO/WD 0-1,2098,1,
93,ISO/R 50:1957,9599,1,1957-01-01
94,ISO/R 53:1957,9599,1,1957-01-01
95,ISO/R 56:1957,9599,1,1957-01-01
96,ISO/R 57:1957,9599,1,1957-01-01
97,ISO/WD 0,2098,1,
98,ISO/R 59:1958,9599,1,1958-01-01
99,ISO/WD 0,2098,1,
100,ISO/R 6:1954,9599,1,1954-01-01
101,ISO/WD 0,2098,1,
102,ISO/R 60:1958,9599,1,1958-01-01
103,ISO/R 61:1958,9599,1,1958-01-01
104,ISO/R 64:1958,9599,1,1958-01-01
105,ISO/WD 0,2098,1,
106,ISO/WD 0,2098,1,
107,ISO/WD 0,2098,1,
108,ISO/R 63:1958,9599,1,1958-01-01
109,ISO/WD 0,2098,1,
110,ISO/R 64:1958/Add 1,9599,1,1958-01-01
111,ISO/R 64:1971,9599,2,1971-01-01
112,ISO/R 65:1958,9599,1,1958-01-01
113,ISO/WD 0-1,2098,1,
114,ISO/WD 0,2098,1,
115,ISO/WD 0,2098,1,
116,ISO/WD 0,2098,1,
117,ISO/WD 0,2098,1,
118,ISO/R 67:1958,9599,1,1958-01-01
119,ISO/R 68:1958,9599,1,1958-01-01
120,ISO/R 7:1954,9599,1,1954-01-01
121,ISO/WD 0,2098,1,
122,ISO/WD 0,2098,1,
123,ISO/WD 0,2098,1,
124,ISO/WD 0,2098,1,
125,ISO/R 70:1958,9599,1,1958-01-01
126,ISO/R 71:1958,9599,1,1958-01-01
127,ISO/WD 0,2098,1,
128,ISO/R 714:1968,9599,1,1968-01-01
129,ISO/R 715:1968,9599,1,1968-01-01
130,ISO/R 74:1958,9599,1,1958-01-01
131,ISO/WD 0,2098,1,
132,ISO/R 745:1968,9599,1,1968-01-01
133,ISO/R 75:1958,9599,1,1958-01-01
134,ISO/R 750:1968,9599,1,1968-01-01
135,ISO/WD 0,2098,1,
136,ISO/WD 0,2098,1,
137,ISO/WD 0,2098,1,
138,ISO/R 779:1968,9599,1,1968-01-01
139,ISO/R 787:1968,9599,1,1968-01-01
140,ISO/R 8:1954,9599,1,1954-01-01
141,ISO/WD 0,2098,1,
142,ISO/R 808:1968,9599,1,1968-01-01
143,ISO/R 82:1959,9599,1,1959-01-01
144,ISO/R 83:1959,9599,1,1959-01-01
145,ISO/R 850:1968,9599,1,1968-01-01
146,ISO/WD 0,2098,1,
147,ISO/R 86:1959,9599,1,1959-01-01
148,ISO/R 89:1959,9599,1,1959-01-01
149,ISO/WD 0,2098,1,
150,ISO/WD 0,2098,1,
151,ISO/WD 0,2098,1,
152,ISO/WD 0,2098,1,
153,ISO/WD 0,2098,1,
154,ISO/WD 0,2098,1,
155,ISO/R 90:1959,9599,1,1959-01-01
156,ISO/WD 0,2098,1,
157,ISO/WD 0,2098,1,
158,ISO/R 918:1969,9599,1,1969-01-01
159,ISO/WD 0,2098,1,
160,ISO/WD 0,2098,1,
161,ISO/WD 0,2098,1,
162,ISO/R 92:1959,9599,1,1959-01-01
163,ISO/R 94:1959,9599,1,1959-01-01
164,ISO/WD 0,2098,1,
165,ISO/R 946:1969,9599,1,1969-01-01
166,ISO/R 96:1959,9599,1,1959-01-01
167,ISO/WD 0,2098,1,
168,ISO/R 98:1959,9599,1,1959-01-01
169,ISO/WD 0,2098,1,
170,ISO/R 99:1959,9599,1,1959-01-01
171,ISO/WD 0,2098,1,
172,ISO/WD 0,2098,1,
173,ISO/WD 0,2098,1,
174,ISO/WD 0,2098,1,
175,ISO/R 1044:1969,9599,1,1969-01-01
176,ISO/R 365:1967,9599,2,1967-01-01
177,ISO/WD 0,2098,1,
178,ISO/R 888:1968,9599,1,1968-01-01
179,ISO/R 981:1969,9599,1,1969-01-01
180,ISO/R 1028:1969,9599,1,1969-01-01
181,ISO/R 1040-1:1969,9599,1,1969-01-01
182,ISO/R 1071:1969,9599,1,1969-01-01
183,ISO/R 1120:1969,9599,1,1969-01-01
184,ISO/R 1148:1969,9599,1,1969-01-01
185,ISO 1151-1:1975,9599,2,1975-01-01
186,ISO/R 139:1967,9599,2,1967-01-01
187,ISO/R 148:1960,9599,1,1960-01-01
188,ISO/WD 0,2098,1,
189,ISO/WD 0,2098,1,
190,ISO 154:1960,9599,1,1960-01-01
191,ISO/R 156:1960,9599,1,1960-01-01
192,ISO/R 249:1962,9599,1,1962-01-01
193,ISO/WD 0,2098,1,
194,ISO/R 282:1962,9599,1,1962-01-01
195,ISO/WD 0,2098,1,
196,ISO/R 341:1963,9599,1,1963-01-01
197,ISO/R 353:1963,9599,1,1963-01-01
198,ISO/WD 0,2098,1,
199,ISO/WD 0,2098,1,
200,ISO/R 378:1964,9599,1,1964-01-01
201,ISO/WD 0,2098,1,
202,ISO/R 407:1964,9599,1,1964-01-01
203,ISO/R 413:1965,9599,1,1965-01-01
204,ISO/WD 0,2098,1,
205,ISO/R 450:1965,9599,1,1965-01-01
206,ISO/R 494:1966,9599,1,1966-01-01
207,ISO/WD 0,2098,1,
208,ISO/R 534:1967,9599,1,1967-01-01
209,ISO/R 667:1968,9599,1,1968-01-01
210,ISO/R 703:1968,9599,1,1968-01-01
211,ISO/R 705:1968,9599,1,1968-01-01
212,ISO/R 720:1968,9599,1,1968-01-01
213,ISO/WD 0,2098,1,
214,ISO/R 898-2:1969,9599,1,1969-01-01
215,ISO/WD 0,2098,1,
216,ISO/R 976:1969,9599,1,1969-01-01
217,ISO/R 1001:1969,9599,1,1969-01-01
218,ISO/WD 0,2098,1,
219,ISO/WD 0,2098,1,
220,ISO/R 1002:1969,9599,1,1969-01-01
221,ISO/R 1003:1969,9599,1,1969-01-01
222,ISO/WD 0,2098,1,
223,ISO/WD 0,2098,1,
224,ISO/R 1004:1969,9599,1,1969-01-01
225,ISO/WD 0,2098,1,
226,ISO/R 1005-1:1969,9599,1,1969-01-01
227,ISO/R 1005-3:1969,9599,1,1969-01-01
228,ISO/WD 0,2098,1,
229,ISO/R 1005-7:1969,9599,1,1969-01-01
230,ISO/R 1006:1969,9599,1,1969-01-01
231,ISO/WD 0,2098,1,
232,ISO/R 1007:1969,9599,1,1969-01-01
233,ISO/R 1008:1969,9599,1,1969-01-01
234,ISO/WD 0,2098,1,
235,ISO/WD 0,2098,1,
236,ISO/R 1009:1969,9599,1,1969-01-01
237,ISO/WD 0,2098,1,
238,ISO/R 1010:1969,9599,1,1969-01-01
239,ISO/WD 0,2098,1,
240,ISO/WD 0,2098,1,
241,ISO/R 1011:1969,9599,1,1969-01-01
242,ISO/R 1012:1969,9599,1,1969-01-01
243,ISO/WD 0,2098,1,
244,ISO/R 1013:1969,9599,1,1969-01-01
245,ISO/WD 0,2098,1,
246,ISO/WD 0,2098,1,
247,ISO/R 1014:1969,9599,1,1969-01-01
248,ISO/R 1015:1969,9599,1,1969-01-01
249,ISO/WD 0,2098,1,
250,ISO/R 1017:1969,9599,1,1969-01-01
251,ISO/WD 0,2098,1,
252,ISO/WD 0,2098,1,
253,ISO/WD 0,2098,1,
254,ISO/WD 0-1,2098,1,
255,ISO/WD 0,2098,1,
256,ISO/R 1018:1969,9599,1,1969-01-01
257,ISO/WD 0,2098,1,
258,ISO/WD 0,2098,1,
259,ISO/R 1019:1969,9599,1,1969-01-01
260,ISO/WD 0,2098,1,
261,ISO/WD 0-1,2098,1,
262,ISO/WD 0,2098,1,
263,ISO/R 1020:1969,9599,1,1969-01-01
264,ISO/WD 0,2098,1,
265,ISO/R 1023:1969,9599,1,1969-01-01
266,ISO/WD 0,2098,1,
267,ISO/WD 0,2098,1,
268,ISO/R 1026:1969,9599,1,1969-01-01
269,ISO/R 1027:1969,9599,1,1969-01-01
270,ISO/WD 0,2098,1,
271,ISO/WD 0,2098,1,
272,ISO/R 1029:1969,9599,1,1969-01-01
273,ISO/R 1031:1969,9599,1,1969-01-01
274,ISO/R 1032:1969,9599,1,1969-01-01
275,ISO/R 1033:1969,9599,1,1969-01-01
276,ISO/WD 0,2098,1,
277,ISO/R 1034:1969,9599,1,1969-01-01
278,ISO/R 1035-1:1969,9599,1,1969-01-01
279,ISO/WD 0,2098,1,
280,ISO/R 1035-2:1969,9599,1,1969-01-01
281,ISO/WD 0,2098,1,
282,ISO/R 1035-3:1969,9599,1,1969-01-01
283,ISO/R 1036:1969,9599,1,1969-01-01
284,ISO/WD 0,2098,1,
285,ISO/WD 0,2098,1,
286,ISO/R 1037:1969,9599,1,1969-01-01
287,ISO/WD 0,2098,1,
288,ISO/R 104:1966,9599,2,1966-01-01
289,ISO/WD 0,2098,1,
290,ISO/WD 0-1,2098,1,
291,ISO/R 1041:1969,9599,1,1969-01-01
292,ISO/R 1042:1969,9599,1,1969-01-01
293,ISO/WD 0,2098,1,
294,ISO/WD 0,2098,1,
295,ISO/R 1042:1963,9599,1,1963-01-01
296,ISO/R 1046:1969,9599,1,1969-01-01
297,ISO/WD 0,2098,1,
298,ISO/R 1047:1969,9599,1,1969-01-01
299,ISO/R 1048:1969,9599,1,1969-01-01
300,ISO/R 1049:1969,9599,1,1969-01-01
301,ISO/R 1050:1969,9599,1,1969-01-01
302,ISO/R 1052:1969,9599,1,1969-01-01
303,ISO/WD 0,2098,1,
304,ISO/WD 0,2098,1,
305,ISO/R 1053:1969,9599,1,1969-01-01
306,ISO/WD 0,2098,1,
307,ISO/WD 0,2098,1,
308,ISO/R 1054:1969,9599,1,1969-01-01
309,ISO/R 1055:1969,9599,1,1969-01-01
310,ISO/R 1056:1969,9599,1,1969-01-01
311,ISO/R 1005-6:1969,9599,1,1969-01-01
312,ISO/WD 0,2098,1,
313,ISO/R 1057:1969,9599,1,1969-01-01
314,ISO/WD 0,2098,1,
315,ISO/WD 0,2098,1,
316,ISO/R 1058:1969,9599,1,1969-01-01
317,ISO/WD 0,2098,1,
318,ISO/R 1059:1969,9599,1,1969-01-01
319,ISO/WD 0,2098,1,
320,ISO/WD 0,2098,1,
321,ISO/WD 0,2098,1,
322,ISO/R 1060:1969,9599,1,1969-01-01
323,ISO/WD 0,2098,1,
324,ISO/WD 0,2098,1,
325,ISO/R 1061:1969,9599,1,1969-01-01
326,ISO/WD 0,2098,1,
327,ISO/R 1063:1969,9599,1,1969-01-01
328,ISO/R 1064:1969,9599,1,1969-01-01
329,ISO/R 1066:1969,9599,1,1969-01-01
330,ISO/R 1067:1969,9599,1,1969-01-01
331,ISO/R 1068:1969,9599,1,1969-01-01
332,ISO/R 1069:1969,9599,1,1969-01-01
333,ISO/WD 0,2098,1,
334,ISO/R 1074:1969,9599,1,1969-01-01
335,ISO/R 1070:1969,9599,1,1969-01-01
336,ISO/R 1072:1969,9599,1,1969-01-01
337,ISO/R 1073:1969,9599,1,1969-01-01
338,ISO/WD 0,2098,1,
339,ISO/WD 0,2098,1,
340,ISO/R 1080:1969,9599,1,1969-01-01
341,ISO/R 1081:1969,9599,1,1969-01-01
342,ISO/R 1082:1969,9599,1,1969-01-01
343,ISO/WD 0,2098,1,
344,ISO/R 1083:1969,9599,1,1969-01-01
345,ISO/R 1084:1969,9599,1,1969-01-01
346,ISO/R 1085:1969,9599,1,1969-01-01
347,ISO/WD 0,2098,1,
348,ISO/WD 0,2098,1,
349,ISO/R 1088:1969,9599,1,1969-01-01
350,ISO/WD 0,2098,1,
351,ISO/WD 0,2098,1,
352,ISO/R 1089:1969,9599,1,1969-01-01
353,ISO/R 109:1966,9599,2,1966-01-01
354,ISO/R 109:1968,9599,2,1968-01-01
355,ISO/R 1090:1969,9599,1,1969-01-01
356,ISO/R 1091:1969,9599,1,1969-01-01
357,ISO/R 1092:1969,9599,1,1969-01-01
358,ISO/R 1093:1969,9599,1,1969-01-01
359,ISO/WD 0,2098,1,
360,ISO/R 1095:1969,9599,1,1969-01-01
361,ISO/WD 0,2098,1,
362,ISO/WD 0-1,2098,1,
363,ISO/R 1097:1969,9599,1,1969-01-01
364,ISO/R 1096:1969,9599,1,1969-01-01
365,ISO/R 1098:1969,9599,1,1969-01-01
366,ISO/WD 0,2098,1,
367,ISO/R 1099:1969,9599,1,1969-01-01
368,ISO/R 1100:1969,9599,1,1969-01-01
369,ISO/WD 0,2098,1,
370,ISO/WD 0,2098,1,
371,ISO/R 1104:1969,9599,1,1969-01-01
372,ISO/R 1107:1969,9599,1,1969-01-01
373,ISO/WD 0,2098,1,
374,ISO/WD 0,2098,1,
375,ISO/WD 0,2098,1,
376,ISO/WD 0,2098,1,
377,ISO/WD 0,2098,1,
378,ISO/WD 0,2098,1,
379,ISO/R 1108:1969,9599,1,1969-01-01
380,ISO/R 1109:1969,9599,1,1969-01-01
381,ISO/R 1110:1969,9599,1,1969-01-01
382,ISO/WD 0,2098,1,
383,ISO/R 1111:1969,9599,1,1969-01-01
384,ISO/R 1112:1969,9599,1,1969-01-01
385,ISO/WD 0,2098,1,
386,ISO/R 1113:1969,9599,1,1969-01-01
387,ISO/WD 0,2098,1,
388,ISO/R 1114:1969,9599,1,1969-01-01
389,ISO/R 1116:1969,9599,1,1969-01-01
390,ISO/R 1117:1969,9599,1,1969-01-01
391,ISO/WD 0,2098,1,
392,ISO/R 1118:1969,9599,1,1969-01-01
393,ISO/R 1119:1969,9599,1,1969-01-01
394,ISO/R 1121:1969,9599,1,1969-01-01
395,ISO/WD 0,2098,1,
396,ISO/R 1123:1969,9599,1,1969-01-01
397,ISO/WD 0,2098,1,
398,ISO/WD 0-1,2098,1,
399,ISO/R 1124:1969,9599,1,1969-01-01
400,ISO/WD 0,2098,1,
401,ISO/R 1125:1969,9599,1,1969-01-01
402,ISO/WD 0,2098,1,
403,ISO/WD 0,2098,1,
404,ISO/R 1126:1969,9599,1,1969-01-01
405,ISO/WD 0,2098,1,
406,ISO/R 1127:1969,9599,1,1969-01-01
407,ISO/R 1129:1969,9599,1,1969-01-01
408,ISO/R 113:1969,9599,2,1969-01-01
409,ISO/R 1136:1969,9599,1,1969-01-01
410,ISO/WD 0,2098,1,
411,ISO/R 1130:1969,9599,1,1969-01-01
412,ISO/WD 0,2098,1,
413,ISO/WD 0,2098,1,
414,ISO/WD 0,2098,1,
415,ISO/WD 0,2098,1,
416,ISO/R 1131:1969,9599,1,1969-01-01
417,ISO/R 1132:1969,9599,1,1969-01-01
418,ISO/R 1133:1969,9599,1,1969-01-01
419,ISO/R 1135:1969,9599,1,1969-01-01
420,ISO/WD 0,2098,1,
421,ISO/R 1137:1969,9599,1,1969-01-01
422,ISO/R 1141:1969,9599,1,1969-01-01
423,ISO/WD 0,2098,1,
424,ISO/WD 0,2098,1,
425,ISO/R 1142:1969,9599,1,1969-01-01
426,ISO/R 1143:1969,9599,1,1969-01-01
427,ISO/R 1147:1969,9599,1,1969-01-01
428,ISO/WD 0,2098,1,
429,ISO/WD 0,2098,1,
430,ISO/WD 0,2098,1,
431,ISO/WD 0,2098,1,
432,ISO/R 1150:1969,9599,1,1969-01-01
433,ISO/WD 0,2098,1,
434,ISO/WD 0-1,2098,1,
435,ISO/R 1151:1969,9599,1,1969-01-01
436,ISO/R 1152:1969,9599,1,1969-01-01
437,ISO/R 1153:1969,9599,1,1969-01-01
438,ISO/WD 0,2098,1,
439,ISO/R 1155:1969,9599,1,1969-01-01
440,ISO/WD 0,2098,1,
441,ISO/WD 0,2098,1,
442,ISO/R 1161:1970,9599,1,1970-01-01
443,ISO/R 123:1968,9599,2,1968-01-01
444,ISO/R 124:1966,9599,2,1966-01-01
445,ISO/R 125:1966,9599,2,1966-01-01
446,ISO/WD 0,2098,1,
447,ISO/R 1268:1970,9599,1,1970-01-01
448,ISO/R 134:1962,9599,2,1962-01-01
449,ISO/WD 0,2098,1,
450,ISO/WD 0,2098,1,
451,ISO/WD 0,2098,1,
452,ISO/WD 0,2098,1,
453,ISO/R 137:1960,9599,1,1960-01-01
454,ISO/R 140:1960,9599,1,1960-01-01
455,ISO/R 141:1960,9599,1,1960-01-01
456,ISO/WD 0,2098,1,
457,ISO/WD 0,2098,1,
458,ISO/WD 0,2098,1,
459,ISO/R 142:1960,9599,1,1960-01-01
460,ISO/R 143:1960,9599,1,1960-01-01
461,ISO/R 144:1960,9599,1,1960-01-01
462,ISO/R 150:1960,9599,1,1960-01-01
463,ISO/R 151:1960,9599,1,1960-01-01
464,ISO/WD 0,2098,1,
465,ISO/R 155:1960,9599,1,1960-01-01
466,ISO/WD 0,2098,1,
467,ISO/WD 0,2098,1,
468,ISO/R 156:1967,9599,2,1967-01-01
469,ISO/WD 0,2098,1,
470,ISO/WD 0-1,2098,1,
471,ISO/R 157:1960,9599,1,1960-01-01
472,ISO/R 160:1960,9599,1,1960-01-01
473,ISO/R 160:1971,9599,2,1971-01-01
474,ISO/R 161:1960,9599,1,1960-01-01
475,ISO/R 162:1960,9599,1,1960-01-01
476,ISO/WD 0,2098,1,
477,ISO/R 171:1961,9599,1,1961-01-01
478,ISO/WD 0,2098,1,
479,ISO/R 172:1961,9599,1,1961-01-01
480,ISO/R 174:1961,9599,1,1961-01-01
481,ISO/R 175:1961,9599,1,1961-01-01
482,ISO/R 176:1961,9599,1,1961-01-01
483,ISO/WD 0,2098,1,
484,ISO/WD 0,2098,1,
485,ISO/WD 0,2098,1,
486,ISO/R 177:1961,9599,1,1961-01-01
487,ISO/WD 0,2098,1,
488,ISO/R 178:1961,9599,1,1961-01-01
489,ISO/R 179:1961,9599,1,1961-01-01
490,ISO/R 180:1961,9599,1,1961-01-01
491,ISO/WD 0,2098,1,
492,ISO/WD 0,2098,1,
493,ISO/WD 0,2098,1,
494,ISO/WD 0,2098,1,
495,ISO/R 181:1961,9599,1,1961-01-01
496,ISO/R 183:1961,9599,1,1961-01-01
497,ISO/R 186:1968,9599,2,1968-01-01
498,ISO/R 187:1961,9599,1,1961-01-01
499,ISO/R 188:1961,9599,1,1961-01-01
500,ISO/WD 0,2098,1,
501,ISO/WD 0,2098,1,
502,ISO/R 194:1961,9599,1,1961-01-01
503,ISO/WD 0,2098,1,
504,ISO/R 194-P1:1963,9599,1,1963-01-01
505,ISO/R 194-CS:1964,9599,1,1964-01-01
506,ISO/WD 0,2098,1,
507,ISO/R 194:1968,9599,1,1968-01-01
508,ISO/R 194:1969,9599,2,1969-01-01
509,ISO/WD 0,2098,1,
510,ISO/WD 0,2098,1,
511,ISO/R 194:1969/Add 1,9599,1,1969-01-01
512,ISO/WD 0,2098,1,
513,ISO/R 194:1969/Add 2,9599,1,1969-01-01
514,ISO/R 194:1969/Add 3,9599,1,1969-01-01
515,ISO/R 194:1969/Add 4,9599,1,1969-01-01
516,ISO/R 196:1961,9599,1,1961-01-01
517,ISO/R 363:1964,9599,1,1964-01-01
518,ISO/R 199:1961,9599,1,1961-01-01
519,ISO/R 207:1961,9599,1,1961-01-01
520,ISO/WD 0,2098,1,
521,ISO/WD 0,2098,1,
522,ISO/WD 0,2098,1,
523,ISO/R 212:1961,9599,1,1961-01-01
524,ISO/WD 0,2098,1,
525,ISO/R 214:1961,9599,1,1961-01-01
526,ISO/R 216:1961,9599,1,1961-01-01
527,ISO/R 217:1961,9599,1,1961-01-01
528,ISO/WD 0,2098,1,
529,ISO/R 221:1961,9599,1,1961-01-01
530,ISO/WD 0,2098,1,
531,ISO/R 225:1961,9599,1,1961-01-01
532,ISO 225:1976,9599,1,1976-01-01
533,ISO/R 227:1961,9599,1,1961-01-01
534,ISO/R 228:1961,9599,1,1961-01-01
535,ISO/R 229:1981,9599,1,1981-01-01
536,ISO/WD 0,2098,1,
537,ISO/WD 0,2098,1,
538,ISO/R 229:1961,9599,1,1961-01-01
539,ISO/WD 0,2098,1,
540,ISO/R 234:1961,9599,1,1961-01-01
541,ISO/WD 0,2098,1,
542,ISO/R 235:1961,9599,1,1961-01-01
543,ISO/R 236:1961,9599,1,1961-01-01
544,ISO/R 237:1961,9599,1,1961-01-01
545,ISO/R 238:1961,9599,1,1961-01-01
546,ISO/WD 0-1,2098,1,
547,ISO/WD 0,2098,1,
548,ISO/WD 0,2098,1,
549,ISO/R 239:1961,9599,1,1961-01-01
550,ISO/WD 0,2098,1,
551,ISO/R 240:1969,9599,2,1969-01-01
552,ISO/R 241:1961,9599,1,1961-01-01
553,ISO/R 242:1961,9599,1,1961-01-01
554,ISO/R 243:1961,9599,1,1961-01-01
555,ISO/R 244:1962,9599,1,1962-01-01
556,ISO/R 246:1962,9599,1,1962-01-01
557,ISO/R 247:1962,9599,1,1962-01-01
558,ISO/R 248:1962,9599,1,1962-01-01
559,ISO/WD 0-1,2098,1,
560,ISO/WD 0,2098,1,
561,ISO/R 254:1962,9599,1,1962-01-01
562,ISO/R 261:1969,9599,2,1969-01-01
563,ISO/R 262:1969,9599,2,1969-01-01
564,ISO/WD 0,2098,1,
565,ISO/R 263:1962,9599,1,1962-01-01
566,ISO/WD 0,2098,1,
567,ISO/R 266:1962,9599,1,1962-01-01
568,ISO/R 268:1962,9599,1,1962-01-01
569,ISO/R 269:1962,9599,1,1962-01-01
570,ISO/R 270:1962,9599,1,1962-01-01
571,ISO/R 272:1962,9599,1,1962-01-01
572,ISO/WD 0,2098,1,
573,ISO/R 272:1968,9599,2,1968-01-01
574,ISO/R 274:1962,9599,1,1962-01-01
575,ISO/R 276:1962,9599,1,1962-01-01
576,ISO/R 277:1962,9599,1,1962-01-01
577,ISO/R 279:1962,9599,1,1962-01-01
578,ISO/WD 0,2098,1,
579,ISO/R 280:1962,9599,1,1962-01-01
580,ISO/R 281:1962,9599,1,1962-01-01
581,ISO/WD 0,2098,1,
582,ISO/WD 0,2098,1,
583,ISO/WD 0,2098,1,
584,ISO/WD 0,2098,1,
585,ISO/R 283:1962,9599,1,1962-01-01
586,ISO/R 284:1962,9599,1,1962-01-01
587,ISO/R 287:1963,9599,1,1963-01-01
588,ISO/R 291:1963,9599,1,1963-01-01
589,ISO/R 293:1963,9599,1,1963-01-01
590,ISO/WD 0,2098,1,
591,ISO/WD 0,2098,1,
592,ISO/R 295:1963,9599,1,1963-01-01
593,ISO/WD 0,2098,1,
594,ISO/R 296:1963,9599,1,1963-01-01
595,ISO/WD 0,2098,1,
596,ISO/WD 0,2098,1,
597,ISO/R 297:1963,9599,1,1963-01-01
598,ISO/R 297:1963/Add 1,9599,1,1963-01-01
599,ISO/R 297:1963/Add 2,9599,1,1963-01-01
600,ISO/R 297:1963/Add 3,9599,1,1963-01-01
601,ISO/R 298:1963,9599,1,1963-01-01
602,ISO/WD 0,2098,1,
603,ISO/R 298:1963/Add 1,9599,1,1963-01-01
604,ISO/R 301:1963,9599,1,1963-01-01
605,ISO/R 302:1963,9599,1,1963-01-01
606,ISO/R 304:1963,9599,1,1963-01-01
607,ISO/WD 0,2098,1,
608,ISO/R 305:1963,9599,1,1963-01-01
609,ISO/R 306:1968,9599,1,1968-01-01
610,ISO/WD 0,2098,1,
611,ISO/WD 0,2098,1,
612,ISO/R 307:1963,9599,1,1963-01-01
613,ISO/R 308:1963,9599,1,1963-01-01
614,ISO/WD 0,2098,1,
615,ISO/R 310:1963,9599,1,1963-01-01
616,ISO/WD 0,2098,1,
617,ISO/R 31:1965,9599,2,1965-01-01
618,ISO/WD 0,2098,1,
619,ISO/WD 0,2098,1,
620,ISO/WD 0,2098,1,
621,ISO/R 31-11:1961,9599,1,1961-01-01
622,ISO/WD 0,2098,1,
623,ISO/R 312:1963,9599,1,1963-01-01
624,ISO/WD 0,2098,1,
625,ISO/R 31-3:1960,9599,1,1960-01-01
626,ISO/R 31-4:1960,9599,1,1960-01-01
627,ISO/R 314:1963,9599,1,1963-01-01
628,ISO/WD 0,2098,1,
629,ISO/R 316:1963,9599,1,1963-01-01
630,ISO/R 31-7:1965,9599,1,1965-01-01
631,ISO/WD 0,2098,1,
632,ISO/R 320:1963,9599,1,1963-01-01
633,ISO/R 328:1963,9599,1,1963-01-01
634,ISO/WD 0,2098,1,
635,ISO/WD 0,2098,1,
636,ISO/WD 0,2098,1,
